10.1016/j.jhydrol.2021.126158,Column2
10.2112/1551-5036(2004)020[0424/PIOSRF]2.0.CO;2,https://sci-hub.ru/10.2112/1551-5036(2004)020[0424/PIOSRF]2.0.CO;2
10.5670/oceanog.2011.34,https://sci-hub.ru/10.5670/oceanog.2011.34
10.1080/10106049.2020.1856197,https://sci-hub.ru/10.1080/10106049.2020.1856197
10.1016/j.jhydrol.2019.124438,https://sci-hub.ru/10.1016/j.jhydrol.2019.124438
10.1016/j.envsci.2012.10.010,https://sci-hub.ru/10.1016/j.envsci.2012.10.010
10.1088/1757-899X/896/1/012047,https://sci-hub.ru/10.1088/1757-899X/896/1/012047
10.1016/j.jhydrol.2012.06.005,https://sci-hub.ru/10.1016/j.jhydrol.2012.06.005
10.1080/00380768.2014.961030,https://sci-hub.ru/10.1080/00380768.2014.961030
10.1080/07352680802665305,https://sci-hub.ru/10.1080/07352680802665305
10.1097/00010694-198301000-00010,https://sci-hub.ru/10.1097/00010694-198301000-00010
10.1051/e3sconf/202016406021,https://sci-hub.ru/10.1051/e3sconf/202016406021
10.1088/1755-1315/272/2/022230,https://sci-hub.ru/10.1088/1755-1315/272/2/022230
10.3390/w11051003,https://sci-hub.ru/10.3390/w11051003
10.1007/s11270-012-1269-3,https://sci-hub.ru/10.1007/s11270-012-1269-3
10.1016/0921-8181(91)90118-G,https://sci-hub.ru/10.1016/0921-8181(91)90118-G
10.2118/176630-ms,https://sci-hub.ru/10.2118/176630-ms
10.1088/2515-7620/ab5e21,https://sci-hub.ru/10.1088/2515-7620/ab5e21
10.1016/j.biocon.2016.07.035,https://sci-hub.ru/10.1016/j.biocon.2016.07.035
10.1088/1748-9326/aa7146,https://sci-hub.ru/10.1088/1748-9326/aa7146
10.1007/s13762-020-02647-7,https://sci-hub.ru/10.1007/s13762-020-02647-7
10.1007/s10040-015-1330-6,https://sci-hub.ru/10.1007/s10040-015-1330-6
10.1007/978-94-007-6652-5_6,https://sci-hub.ru/10.1007/978-94-007-6652-5_6
10.1016/j.jplph.2006.05.017,https://sci-hub.ru/10.1016/j.jplph.2006.05.017
10.1038/s41598-018-29734-7,https://sci-hub.ru/10.1038/s41598-018-29734-7
10.1007/bf02905197,https://sci-hub.ru/10.1007/bf02905197
10.1007/s12237-014-9795-4,https://sci-hub.ru/10.1007/s12237-014-9795-4
10.1002/hyp.7444,https://sci-hub.ru/10.1002/hyp.7444
10.1016/j.geoderma.2016.10.030,https://sci-hub.ru/10.1016/j.geoderma.2016.10.030
10.1071/MF07147,https://sci-hub.ru/10.1071/MF07147
10.1016/0016-7061(76)90069-0,https://sci-hub.ru/10.1016/0016-7061(76)90069-0
10.4141/S98-055,https://sci-hub.ru/10.4141/S98-055
10.1016/j.scitotenv.2018.06.006,https://sci-hub.ru/10.1016/j.scitotenv.2018.06.006
10.3390/su13084476,https://sci-hub.ru/10.3390/su13084476
10.1016/j.scienta.2016.04.033,https://sci-hub.ru/10.1016/j.scienta.2016.04.033
10.1016/j.chemosphere.2015.03.094,https://sci-hub.ru/10.1016/j.chemosphere.2015.03.094
10.1007/s10661-017-6448-7,https://sci-hub.ru/10.1007/s10661-017-6448-7
10.1134/S0097807810030036,https://sci-hub.ru/10.1134/S0097807810030036
10.1029/2020EF001525,https://sci-hub.ru/10.1029/2020EF001525
10.1016/j.chemosphere.2013.02.059,https://sci-hub.ru/10.1016/j.chemosphere.2013.02.059
10.2307/4002692,https://sci-hub.ru/10.2307/4002692
10.1016/j.scitotenv.2017.11.361,https://sci-hub.ru/10.1016/j.scitotenv.2017.11.361
10.1007/s11284-012-0963-3,https://sci-hub.ru/10.1007/s11284-012-0963-3
10.1016/S0378-3774(98)00081-X,https://sci-hub.ru/10.1016/S0378-3774(98)00081-X
10.1111/j.1475-2743.1986.tb00693.x,https://sci-hub.ru/10.1111/j.1475-2743.1986.tb00693.x
10.1007/978-94-007-6652-5_9,https://sci-hub.ru/10.1007/978-94-007-6652-5_9
10.1016/B978-0-12-811891-7.00002-5,https://sci-hub.ru/10.1016/B978-0-12-811891-7.00002-5
10.1002/eco.1309,https://sci-hub.ru/10.1002/eco.1309
10.1007/s41207-021-00257-4,https://sci-hub.ru/10.1007/s41207-021-00257-4
10.1007/s10531-012-0307-1,https://sci-hub.ru/10.1007/s10531-012-0307-1
10.1016/j.geodrs.2019.e00239,https://sci-hub.ru/10.1016/j.geodrs.2019.e00239
10.1002/ldr.3551,https://sci-hub.ru/10.1002/ldr.3551
10.3389/fsufs.2020.533781,https://sci-hub.ru/10.3389/fsufs.2020.533781
10.2175/106143012X13560205145172,https://sci-hub.ru/10.2175/106143012X13560205145172
10.1023/A/1024531325281,https://sci-hub.ru/10.1023/A/1024531325281
10.1080/09592290903293852,https://sci-hub.ru/10.1080/09592290903293852
10.1016/j.envpol.2019.01.111,https://sci-hub.ru/10.1016/j.envpol.2019.01.111
10.1134/S009780781701016X,https://sci-hub.ru/10.1134/S009780781701016X
10.1134/S2079096114040088,https://sci-hub.ru/10.1134/S2079096114040088
10.1016/j.geoderma.2006.03.019,https://sci-hub.ru/10.1016/j.geoderma.2006.03.019
10.1111/pce.12873,https://sci-hub.ru/10.1111/pce.12873
10.3390/w11081549,https://sci-hub.ru/10.3390/w11081549
10.1016/j.scitotenv.2019.01.390,https://sci-hub.ru/10.1016/j.scitotenv.2019.01.390
10.1007/698_2020_651,https://sci-hub.ru/10.1007/698_2020_651
10.1007/s11069-019-03706-0,https://sci-hub.ru/10.1007/s11069-019-03706-0
10.1016/j.jhydrol.2008.06.012,https://sci-hub.ru/10.1016/j.jhydrol.2008.06.012
10.1023/A/1006181204765,https://sci-hub.ru/10.1023/A/1006181204765
10.1016/j.ecss.2011.11.005,https://sci-hub.ru/10.1016/j.ecss.2011.11.005
10.1088/1755-1315/579/1/012036,https://sci-hub.ru/10.1088/1755-1315/579/1/012036
10.1134/s1064229308020038,https://sci-hub.ru/10.1134/s1064229308020038
10.3390/hydrology6030080,https://sci-hub.ru/10.3390/hydrology6030080
10.1111/j.1467-8470.1986.tb00512.x,https://sci-hub.ru/10.1111/j.1467-8470.1986.tb00512.x
10.1007/s10533-016-0189-5,https://sci-hub.ru/10.1007/s10533-016-0189-5
10.1016/j.ocecoaman.2015.11.009,https://sci-hub.ru/10.1016/j.ocecoaman.2015.11.009
10.1007/978-3-540-72438-4_27,https://sci-hub.ru/10.1007/978-3-540-72438-4_27
10.1016/S0378-3774(01)00160-3,https://sci-hub.ru/10.1016/S0378-3774(01)00160-3
10.1007/978-3-030-41629-4_7,https://sci-hub.ru/10.1007/978-3-030-41629-4_7
10.3390/su7010866,https://sci-hub.ru/10.3390/su7010866
10.1016/S1364-8152(98)00003-6,https://sci-hub.ru/10.1016/S1364-8152(98)00003-6
10.7343/as-2016-192,https://sci-hub.ru/10.7343/as-2016-192
10.1029/2019JG005217,https://sci-hub.ru/10.1029/2019JG005217
10.1071/BT05020,https://sci-hub.ru/10.1071/BT05020
10.1111/sjtg.12021,https://sci-hub.ru/10.1111/sjtg.12021
10.1016/j.chemosphere.2019.125646,https://sci-hub.ru/10.1016/j.chemosphere.2019.125646
10.1061/(ASCE)0733-9437(2007)133/4(359),https://sci-hub.ru/10.1061/(ASCE)0733-9437(2007)133/4(359)
10.1890/ES12-00269.1,https://sci-hub.ru/10.1890/ES12-00269.1
10.1016/B978-008045405-4.00621-2,https://sci-hub.ru/10.1016/B978-008045405-4.00621-2
10.1111/j.1438-8677.2012.00597.x,https://sci-hub.ru/10.1111/j.1438-8677.2012.00597.x
10.1007/s10533-021-00797-5,https://sci-hub.ru/10.1007/s10533-021-00797-5
10.1093/aob/mcz039,https://sci-hub.ru/10.1093/aob/mcz039
10.1016/j.scitotenv.2016.07.198,https://sci-hub.ru/10.1016/j.scitotenv.2016.07.198
10.3390/jmse5040049,https://sci-hub.ru/10.3390/jmse5040049
10.3390/rs10081280,https://sci-hub.ru/10.3390/rs10081280
10.1016/j.jaridenv.2011.11.025,https://sci-hub.ru/10.1016/j.jaridenv.2011.11.025
10.1016/j.jhydrol.2011.08.008,https://sci-hub.ru/10.1016/j.jhydrol.2011.08.008
10.1007/s10021-021-00686-w,https://sci-hub.ru/10.1007/s10021-021-00686-w
10.1007/BF00039808,https://sci-hub.ru/10.1007/BF00039808
10.4081/ija.2009.s3.151,https://sci-hub.ru/10.4081/ija.2009.s3.151
10.5194/bg-10-8171-2013,https://sci-hub.ru/10.5194/bg-10-8171-2013
10.1007/978-3-030-66238-7_7,https://sci-hub.ru/10.1007/978-3-030-66238-7_7
10.1080/03721426.2018.1546423,https://sci-hub.ru/10.1080/03721426.2018.1546423
10.1007/s10021-018-0325-2,https://sci-hub.ru/10.1007/s10021-018-0325-2
10.1093/aobpla/plv020,https://sci-hub.ru/10.1093/aobpla/plv020
10.1007/s12665-017-6570-4,https://sci-hub.ru/10.1007/s12665-017-6570-4
10.1111/1365-2664.13169,https://sci-hub.ru/10.1111/1365-2664.13169
10.1007/s10040-011-0784-4,https://sci-hub.ru/10.1007/s10040-011-0784-4
10.1371/journal.pone.0216540,https://sci-hub.ru/10.1371/journal.pone.0216540
10.1016/B978-0-12-396483-0.00009-1,https://sci-hub.ru/10.1016/B978-0-12-396483-0.00009-1
10.1016/S0022-1694(02)00013-6,https://sci-hub.ru/10.1016/S0022-1694(02)00013-6
10.1111/wej.12116,https://sci-hub.ru/10.1111/wej.12116
10.1016/j.ecoleng.2014.11.014,https://sci-hub.ru/10.1016/j.ecoleng.2014.11.014
10.1163/15685314-04803010,https://sci-hub.ru/10.1163/15685314-04803010
10.5194/hess-24-2121-2020,https://sci-hub.ru/10.5194/hess-24-2121-2020
10.1016/j.geoderma.2020.114380,https://sci-hub.ru/10.1016/j.geoderma.2020.114380
10.1016/S0341-8162(02)00093-0,https://sci-hub.ru/10.1016/S0341-8162(02)00093-0
10.1016/j.jhydrol.2017.09.014,https://sci-hub.ru/10.1016/j.jhydrol.2017.09.014
10.1016/j.ecolmodel.2010.01.012,https://sci-hub.ru/10.1016/j.ecolmodel.2010.01.012
10.5194/hess-23-1431-2019,https://sci-hub.ru/10.5194/hess-23-1431-2019
10.1016/S0378-3774(98)00075-4,https://sci-hub.ru/10.1016/S0378-3774(98)00075-4
10.1111/j.1475-2743.1987.tb00724.x,https://sci-hub.ru/10.1111/j.1475-2743.1987.tb00724.x
10.1016/j.scitotenv.2020.144654,https://sci-hub.ru/10.1016/j.scitotenv.2020.144654
10.1007/s12665-020-8856-1,https://sci-hub.ru/10.1007/s12665-020-8856-1
10.1134/S1064229315100087,https://sci-hub.ru/10.1134/S1064229315100087
10.4025/ actascibiolsci.v34i4.8535,https://sci-hub.ru/10.4025/ actascibiolsci.v34i4.8535
10.1007/s12665-011-1088-7,https://sci-hub.ru/10.1007/s12665-011-1088-7
10.1007/s42990-021-00060-x,https://sci-hub.ru/10.1007/s42990-021-00060-x
10.1016/j.palaeo.2020.110141,https://sci-hub.ru/10.1016/j.palaeo.2020.110141
10.1016/j.ecss.2020.106650,https://sci-hub.ru/10.1016/j.ecss.2020.106650
10.1007/978-94-007-5648-9_12,https://sci-hub.ru/10.1007/978-94-007-5648-9_12
10.1080/00103629309368884,https://sci-hub.ru/10.1080/00103629309368884
10.1029/2019PA003642,https://sci-hub.ru/10.1029/2019PA003642
10.1016/B978-0-12-805068-2.00043-7,https://sci-hub.ru/10.1016/B978-0-12-805068-2.00043-7
10.1007/s13157-015-0701-z,https://sci-hub.ru/10.1007/s13157-015-0701-z
10.1007/s10933-012-9577-6,https://sci-hub.ru/10.1007/s10933-012-9577-6
10.1002/esp.4382,https://sci-hub.ru/10.1002/esp.4382
10.1007/s12665-021-09774-5,https://sci-hub.ru/10.1007/s12665-021-09774-5
10.1007/BF00019115,https://sci-hub.ru/10.1007/BF00019115
10.1016/j.agwat.2014.08.022,https://sci-hub.ru/10.1016/j.agwat.2014.08.022
10.1016/j.jhydrol.2007.01.042,https://sci-hub.ru/10.1016/j.jhydrol.2007.01.042
10.1051/e3sconf/20199705026,https://sci-hub.ru/10.1051/e3sconf/20199705026
